prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
SY109100F,SY109100F,N/A,12120,"Gentle Eye & Lip Make-Up Remover
芳香系列眼唇液",1870,0,規格：125 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
SY152000F,SY152000F,N/A,12120,"Soapless Facial Cleansing Bar
調理香皂",1660,0,規格：125 ml　,Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
SY113000F,SY113000F,N/A,12120,"Cleansing Milk with White Lily
百合花潔膚乳",2980,0,"規格：250 ml
　",Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
SY108200F,SY108200F,N/A,12120,"Eau Efficace Gentle Make-Up Remover
極淨植物保養卸妝液",3060,0,規格：300 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
SY152103F,SY152103F,N/A,12120,"Soapless Foaming Cleanser
潤膚營養霜",2470,0,規格：85 g,Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
S29006049626F,S29006049626F,N/A,12120,"Facial Treatment Gentle Cleanser 120g
全效活膚潔面乳",1950,0,規格：120 g,SK-II,N/A,2,False,False,False,N/A,,11210,,11210
S29006053982F,S29006053982F,N/A,12120,"Men Moisturizing Cleanser 120g
男士活能潔面乳",1920,0,規格：120 g,SK-II,N/A,2,False,False,False,N/A,,11210,,11210
SY152500F,SY152500F,N/A,12120,"Creamy Mousse Cleanser
植物潔面慕絲",2980,0,"規格：125 ml
　",Sisley 希思黎,N/A,1,False,False,False,N/A,,11210,,11210
SY112200F,SY112200F,N/A,12120,"Cleansing Milk with Sage
平衡潔膚乳",2890,0,規格：250 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
S29006028379F,S29006028379F,N/A,12120,"Facial Treatment Cleansing Oil 250g
深層淨透潔顏油",1420,0,規格：250 ml,SK-II,N/A,2,False,False,False,N/A,,11210,,11210
S29006067958F,S29006067958F,N/A,12120,"Facial Treatment Gentle Cleansing Cream 80g
全效活膚霜",1820,0,規格：80 g,SK-II,N/A,2,False,False,False,N/A,,11210,,11210
SY123500F,SY123500F,N/A,12120,"Gentle Facial Buffing Cream
角質調理霜",2130,0,"規格：50 ml
　",Sisley 希思黎,N/A,2,False,False,False,N/A,,11210,,11210
SY150600F,SY150600F,N/A,12122,"Sisle?a Essential Skin Care Lotion
抗皺活膚前導水精華",4250,0,規格：150 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11230,,11230
SY103200F,SY103200F,N/A,12123,"Floral Toning Lotion
花香化粧水",2550,0,規格：250 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11240,,11240
LE27EV200I11F,LE27EV200I11F,N/A,12123,"ESSENTIAL WATER FACE
蠟菊精華露",980,0,規格：200 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11240,,11240
S29006070132F,S29006070132F,N/A,12123,"Facial Treatment Clear Lotion 230ml
亮采化粧水",2450,0,規格：230 ml,SK-II,N/A,2,False,False,False,N/A,,11240,,11240
LE27DL200I13F,LE27DL200I13F,N/A,12123,"IM LOTION DIVINE
蠟菊賦活菁露",1800,0,規格：200 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11240,,11240
SY104200F,SY104200F,N/A,12123,"Grapefruit Toning Lotion
調理化粧水",2550,0,規格：250 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11240,,11240
SY106100F,SY106100F,N/A,12123,"Floral Spray Mist
玫瑰紓顏噴霧",2640,0,規格：125 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11240,,11240
LA09732F,LA09732F,N/A,12123,"White Caviar Illuminating Clarifying Lotion
鑽白魚子緊膚亮顏調理露",6540,0,規格：200 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11240,,11240
SY150400F,SY150400F,N/A,12124,"Sisle?a Global Firming Serum
抗皺活膚彈力精華",12670,0,"規格：30 ml
",Sisley 希思黎,N/A,2,False,False,False,N/A,,11250,,11250
CN126428F,CN126428F,N/A,12124,"Tri-Intensive Brightening Serum
智慧美白淡斑精華",3400,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11250,,11250
"LA05761F-1,LA05761F-2",LA05761F,N/A,12124,"Cellular Radiance Concentrate Pure Gold
24K極緻金露",20700,0,規格：30 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11250,,11250
S29006366815F,S29006366815F,N/A,12124,"Facial Treatment Repair C 30ml
青春精華露",4030,0,規格：30 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006066999F,S29006066999F,N/A,12124,"Mid-Day Miracle Essence 50ml
青春奇蹟噴霧精華",1750,0,規格：50 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006070071F,S29006070071F,N/A,12124,"Facial Treatment Essence 160ml
青春露",3930,0,規格：160 ml,SK-II,N/A,2,False,False,False,"S29006045635F,S29006052404F",,11250,,11250
S29006067101F,S29006067101F,N/A,12124,"R.N.A.Power Radical New Age Essence 50ml
R.N.A.超肌能彈力精萃",4530,0,規格：50 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006030402F,S29006030402F,N/A,12124,"Signs Up-Lifter 40g
煥顏精華",3340,0,規格：40 g,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006068566F,S29006068566F,N/A,12124,"Gsenopti Spot Essence 50ml
超肌因精華",5220,0,規格：50 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006068665F,S29006068665F,N/A,12124,"Genoptics Aura Essence 50ml
超肌因鑽光精華",5750,0,規格：50 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006070101F,S29006070101F,N/A,12124,"Men Facial Treatment Essence 160 ml
男士活能青春露",3930,0,規格：160 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006070095F,S29006070095F,N/A,12124,"Men Facial Treatment Essence 75ml
男士活能青春露",4790,0,規格：230 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006068542F,S29006068542F,N/A,12124,"Genoptics Aura Essence 75ml
超肌因鑽光精華",8030,0,規格：75 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006068641F,S29006068641F,N/A,12124,"Gsenopti Spot Essence 75ml
超肌因精華",6780,0,規格：75 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006067118F,S29006067118F,N/A,12124,"R.N.A.Power Radical New Age Essence 75 ml
R.N.A.超肌能彈力精萃",6280,0,規格：75 ml,SK-II,N/A,2,False,False,False,N/A,,11250,,11250
S29006045635F,S29006045635F,N/A,12124,"Facial Treatment Essence 250ml
青春露",5060,0,規格：250 ml,SK-II,N/A,2,False,False,False,"S29006070071F,S29006052404F",,11250,,11250
LA15295F,LA15295F,N/A,12124,"White Caviar Illuminating Serum
鑽白魚子緊膚晶露",15040,0,"規格：30 ml
",la prairie莱珀妮,N/A,2,False,True,False,N/A,,11250,,11250
